Museum_Name,Museum_ID,State
"AGAWAM HISTORICAL ASSOCIATION",8402501090,MA
"AGECROFT HALL",8405100609,VA
"AGER HOUSE",8405500137,WI
"AGNESS ILLAHE MUSEUM",8404100292,OR
"AGRICULTURAL AND INDUSTRIAL MUSEUM",8404200678,PA
"AGRICULTURAL HALL OF FAME",8402000227,KS
"AGRICULTURAL HERITAGE CENTER",8404500318,SC
"AGRICULTURAL HERITAGE MUSEUM",8404600044,SD
"AGRICULTURAL HISTORY PROJECT",8400601907,CA
"AGRICULTURE HERITAGE MUSEUM",8404801811,TX
"AGRICULTURE MUSEUM OF MERCED COUNTY",8400601963,CA
"AGUA CALIENTE",8400400381,AZ
"AGUA CALIENTE CULTURAL MUSEUM",8400601260,CA
"AH-TAH-THI-KI MUSEUM",8401201272,FL
"AHA ABENAKI HELPING ABENAKI",8405000298,VT
"AHA! A HAND'S ON ADVENTURE: A CHILDREN'S MUSEUM",8403900297,OH
"AHEPA NEW SMYRNA MEMORIAL",8401200967,FL
"AHLAM SAED ACADEMY & COMMUNITY SCIENCE CENTER",8400602489,CA
"AHNE ROAD FARMS",8401700844,IL
"AHRNSBRAK GALLERY",8409502669,WI
"AHTANUM VALLEY MUSEUM",8405300154,WA
"AHUENA HEIAU",8401500151,HI
"AIDRON DUCKWORTH ART MUSEUM",8403300408,NH
"AIDS & INFECTIOUS DISEASE SCIENCE CENTER",8401200551,FL
"AIDS MUSEUM",8402400172,MD
"AIKEN ANTIQUE POWER ASSOCIATION",8404500108,SC
"AIKEN COUNTY HISTORICAL SOCIETY",8404500234,SC
"AIKEN RAILROAD DEPOT",8404500339,SC
"AIKEN-RHETT HOUSE",8404500079,SC
"AINSLEY HOUSE",8400600576,CA
"AIR & MILITARY MUSEUM OF THE OZARKS",8402900472,MO
"AIR & MISSLE MUSEUM",8404500288,SC
"AIR ACRES MUSEUM",8401300440,GA
"AIR CLASSICS MUSEUM",8401700261,IL
"AIR COMBAT MUSEUM",8401701118,IL
"AIR FORCE ARMAMENT MUSEUM",8401200258,FL
"AIR FORCE ENLISTED HERITAGE RESEARCH INSTITUTE/HERITAGE HALL",8409501195,AL
"AIR FORCE RADAR MUSEUM",8403900474,OH
"AIR FORCE SPACE AND MISSILE MUSEUM",8401200879,FL
"AIR HERITAGE",8404201163,PA
"AIR MEDICAL MEMORIAL",8400800244,CO
"AIR MUSEUM OF MINNESOTA",8402700320,MN
"AIR MUSEUM OF WEST",8400602659,CA
"AIR POWER MUSEUM",8401900639,IA
"AIR RACE MUSEUM OF SHAFTER",8400600681,CA
"AIR RESCUE MUSEUM",8404800492,TX
"AIR SERVICES MUSEUM",8400800325,CO
"AIR TRANSPORT MUSEUM",8402500513,MA
"AIR VICTORY MUSEUM",8403400111,NJ
"AIR WAR AIR MUSEUM",8404801124,TX
"AIR ZOO",8409500236,MI
"AIRBORNE AND SPECIAL OPERATIONS MUSEUM",8403700607,NC
"AIRBORNE HISTORICAL ASSOCIATION",8401300442,GA
"AIRCRAFT AVIATION MUSEUM",8404100116,OR
"AIRCRAFT CARRIER HORNET FOUNDATION",8400602451,CA
"AIRCRAFT ENGINE HISTORICAL SOCIETY",8400100409,AL
"AIRENS COMPANY MUSEUM",8409401115,WI
"AIRLIE GARDENS",8409501914,NC
"AIRMEN MEMORIAL MUSEUM",8402400444,MD
"AIRPLANE FILLING STATION PRESERVATION ASSOCIATION",8404700143,TN
"AIRSPACE MINNESOTA",8402700671,MN
"AITKIN COUNTY HISTORICAL SOCIETY",8402700330,MN
"AJO HISTORICAL SOCIETY",8400400219,AZ
"AKIMA PLANETARIUM",8409500237,TN
"AKIN HALL ASSOCIATION",8403601230,NY
"AKRON AIRSHIP HISTORICAL CENTER",8403900202,OH
"AKRON ART MUSEUM",8403900898,OH
"AKRON CANTON AND YOUNGSTOWN RAILROAD HISTORICAL SOCIETY",8403901122,OH
"AKRON CIVIL WAR MEMORIAL SOCIETY",8403900725,OH
